szenario ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 15 ; 185.8 ; 0 ; 152.4 ; 1.537465143191768 ; 0.5 ; 30.65968 ; 0.15376 ; 221.86919915700736 ; 0 ; 0 ; 0
constant ; 15 ; 195.8 ; 0 ; 149 ; 8.593040916677598 ; 13.3 ; 37.88784 ; 5.0936 ; 259.6725536226133 ; 15 ; 15 ; 15
traffic ; 15 ; 187.8 ; 0 ; 152.8 ; 6.0455887878883745 ; 6.2 ; 34.372319999999995 ; 2.14032 ; 245.72080090881786 ; 15 ; 15 ; 15
cooperativ ; 15 ; 180.2 ; 0 ; 140 ; 6.2968447077828 ; 6.34 ; 32.676159999999996 ; 2.07728 ; 243.9083879964102 ; 15 ; 15 ; 15
szenario ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 30 ; 378.4 ; 1 ; 297.6 ; 1.6636232386380077 ; 2.1599999999999997 ; 65.02063999999999 ; 1.4152 ; 231.33229053801233 ; 0 ; 0 ; 0
constant ; 30 ; 346.4 ; 28 ; 232.2 ; 7.0232702507725735 ; 41.3 ; 85.99823999999998 ; 35.60528 ; 306.3529067797029 ; 15 ; 15 ; 15
traffic ; 30 ; 370.2 ; 8.4 ; 263.6 ; 5.385355989098425 ; 27.859999999999996 ; 80.79152 ; 22.59104 ; 285.45494497918696 ; 15 ; 15 ; 15
cooperativ ; 30 ; 356.2 ; 13.4 ; 251 ; 6.32089170360687 ; 29.660000000000004 ; 78.52000000000001 ; 23.499999999999996 ; 291.0744860779628 ; 15 ; 15 ; 15
szenario ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 45 ; 537 ; 24.4 ; 416.6 ; 2.0574752784696684 ; 13.88 ; 103.44351999999999 ; 14.34896 ; 257.2597421988154 ; 0 ; 0 ; 0
constant ; 45 ; 367.2 ; 197.2 ; 254 ; 6.263612075191924 ; 46.02 ; 99.46351999999999 ; 45.75824 ; 339.9108477644944 ; 15 ; 15 ; 15
traffic ; 45 ; 424.2 ; 126.4 ; 308.4 ; 4.816678408711853 ; 37.239999999999995 ; 102.43232 ; 38.15392000000001 ; 316.93922568449136 ; 15 ; 15 ; 15
cooperativ ; 45 ; 385.2 ; 179.8 ; 276 ; 6.136984154789489 ; 39.56 ; 97.99488000000001 ; 38.79664 ; 339.08690265002576 ; 15 ; 15 ; 15
